"topnav_shop_button","Shop"
"preloader_tips_friends","Unlocking new episodes is faster when you play with friends."
"preloader_tips_friends_2","Friends can help you pass blocks, get more lives and encourage your progress."
"preloader_tips_striped_2","Match a Striped Candy and a Color Bomb and get a lot of striped candies."
"preloader_tips_wrapped_2","Match 2 wrapped candies to create a 5X5 candy blast!"
"preloader_tips_colorbomb","Try matching each type of candy with a Color bomb for sweet combos."
"preloader_tips_time","Look for extra time candies to maximize your play in timed levels."
"preloader_tips_mystery","Mystery candy can be good or bad, but it is always fun to find out."
"preloader_tips_chameleon","The Chameleon Candy is sneaky. It changes candy color with each turn."
"preloader_tips_wrapped_3","Wrapped Candy creates a delicious explosion when activated."
"preloader_tips_fish_3","Swedish Fish can eat any candy, but difficult candies are their favorite."
"preloader_tips_coconut_2","Coconut Wheels roll over candies in a line, and make the first 3 they roll over striped."
"preloader_tips_striped_3","The direction of the stripes on a striped candy shows which direction it will go."
"preloader_tips_wrapped_4","Form a Wrapped Candy by matching candies in a T or L shape."
"preloader_tips_striped_4","Form a Striped Candy by matching 4 candies in a row."
"map_decoration_text_episode_name_episode1237","Surreal Safari"
"popup_generic_time_left","Time left: {0}"
"popup_generic_hours_unlimited_life","{0}h Unlimited Lives"
"popup_candy_bank_tab_holiday","Holiday Sale"
"champion_title_episode55","Courageous Caterpillar"
"map_decoration_text_episode_name_episode55","Caramel Clearing"
"popup_holiday_promo_message","It's the Holiday Sale in Candy Crush, get your special package now!"
"popup_holiday_promo_title","Holiday Sale!"
"popup_xmas_card_gift_title","Send a holiday greeting!"
"popup_xmas_card_gift_description","Hohoho! You can send a holiday card with a gift to a friend."
"popup_xmas_card_need_select_gift","You need to select a gift with this card."
"popup_xmas_card_gift_remove","Remove"
"popup_xmas_card_small_gift","Small gift"
"popup_xmas_card_medium_gift","Medium gift"
"popup_xmas_card_large_gift","Large gift"
"popup_card_receiver_title","Wow, you got a card!"
"popup_card_receiver_message","Send a greeting to a friend?"
"popup_xmas_send_cards","Send cards"
"kingdom_button_my_profile","My profile"
"kingdom_button_my_profile_tooltip","This is where you can see your achievements and progress!"
"facebook_xmas_card_share_description_gift","{0} sent you a holiday gift. Click on the image to find out what!"
"popup_generic_button_label_show_offer","Show offer"
"champion_title_episode56","Candy Clodhopper"
"map_decoration_text_episode_name_episode56","Candy Calaboose"
"popup_progress_restored_header_m","Progress restored"
"popup_progress_restored_message_m","Your progress has been restored!"
"map_decoration_text_episode_name_episode1238","Charming Carnival"
"champion_title_episode57","Private Ice Cream"
"map_decoration_text_episode_name_episode57","Nougat Noir"
"valentine_offer_title","Treat Yourself!"
"popup_candy_bank_tab_valentine","Valentine Pack"
"popup_valentine_promo_message","Have a sweet Valentine’s!"
"valentine_campaign_info_button_tooltip","Crush 1000 red candies and get a reward!"
"valentine_campaign_info_popup_title","Crush and get!"
"valentine_campaign_popup_description","Crush 1000 red candies in 24 hours to get 10 Gold Bars and one Lollipop Hammer"
"valentine_campaign_info_popup_crush_red","Crush red!"
"valentine_campaign_info_popup_get_reward","Get reward!"
"valentine_campaign_popup_percent_done","{0} done"
"valentine_campaign_info_popup_sweet","Sweet!"
"valentine_campaign_reward_popup_title","You did it!"
"valentine_campaign_reward_popup_description","Good going with crushing 1000 red candies. Claim your reward of 10 Gold Bars and one Lollipop Hammer."
"valentine_campaign_reward_popup_claim_reward","Claim reward"
"kingdom_explanation_popup","You can ask other Candy fans for help!"
"kingdom_explanation_genie","Those friendly faces on your map are other Candy fans! Have fun!"
"map_decoration_text_episode_name_episode1240","Playful Pavilion"
"champion_title_episode58","Saucer Seeker"
"map_decoration_text_episode_name_episode58","Gummy Galaxy"
"map_decoration_text_episode_name_episode1239","Snoozy Strike"
"generic_last_life","Last life"
"champion_title_episode59","Thirsty Troubadour"
"map_decoration_text_episode_name_episode59","Truffle Terrace"
"map_decoration_text_episode_name_episode1241","Twilight Tulips"
"map_decoration_text_episode_name_episode1242","Whimsical Waves"
"champion_title_episode60","Sweet Sibling"
"map_decoration_text_episode_name_episode60","Coco Crossroads"
"button_get_friends_facebook","Show friends!"
"message_request_lives_facebook_no_friends_permission","Playing with friends is sweeter! Would you like us to show your friend list?"
"champion_title_episode61","Coco Kahuna"
"map_decoration_text_episode_name_episode61","Crumbly Coast"
"map_decoration_text_episode_name_episode1243","Banana Bliss"
"map_decoration_text_episode_name_episode1244","Nocturnal Nuisance"
"saga15_sugartrack_speechbubble_tutorial01","Collect Sugar Drops to win rewards"
"saga15_sugartrack_speechbubble_offline01","Connect to claim your rewards and continue collecting"
"champion_title_episode63","Tickle Troll"
"map_decoration_text_episode_name_episode63","Delectable Depths"
"champion_title_episode62","Bubblegum Barber"
"map_decoration_text_episode_name_episode62","Polka Park"
"saga15_sugartrack_speechbubble_cooldown","You'll get a new Sugar Track when the cooldown is over"
"reward_message_title_m","Sweet reward!"
"reward_message_description_m","Claim your delicious gift now."
"saga15_sugartrack_speechbubble_tutorial02","A chain reaction will give you Sugar Drops"
"saga15_sugartrack_speechbubble_tutorial03","You can only collect Sugar Drops in specific levels"
"saga15_sugartrack_speechbubble_tutorial04","Match Sugar Drops to collect them"
"saga15_sugartrack_speechbubble_tutorial05","You can keep collected Sugar Drops even if you fail the level"
"saga15_sugartrack_speechbubble_deactivated","There are no Sugar Drops in this level"
"map_decoration_text_episode_name_episode1245","Dozy Dawn"
"popup_moves_with_purchase_goldbar_description","For a limited time only: With each Gold Bar purchase you get at least {0} of {1} extra moves for every level you play."
"popup_moves_with_purchase_booster_description","For a limited time only: With each booster purchase you get at least {0} of {1} extra moves for every level you play."
"popup_moves_with_purchase_subtitle","*Extra moves for {0} maximum"
"popup_moves_with_purchase_title","Extra Moves!"
"moves_with_purchase_tooltip","Get {0} hours extra moves with this purchase"
"popup_generic_hours_left","{0} hours left"
"popup_generic_minutes_left","{0} minutes left"
"popup_generic_minute_left","{0} minute left"
"cutscene_1245_owl","It's been fun! See you later!"
"generic_boosters","Boosters"
"delivery_failed_popup_button_text_m","Retry"
"champion_title_episode64","Top Tracker"
"delivery_failed_popup_title_line1_m","Thanks!"
"champion_title_episode65","Bubble Brigadier"
"delivery_failed_popup_text_m","Thanks for you purchase! Due to connection issues you did not get your product. We'll try to send it to you until it works."
"champion_title_episode66","Max Relaxer"
"map_decoration_text_episode_name_episode64","Minty Meadow"
"map_decoration_text_episode_name_episode65","Cookie Crossing"
"popup_end_of_dreamworld_title","Time to wake up!"
"popup_end_of_dreamworld_button","Get Prize!"
"popup_end_of_dreamworld_description","Even sweet dreams must end. Enjoy this tasty prize and continue your adventure in the Candy Kingdom."
"map_decoration_text_episode_name_episode66","Soda Swamp"
"popup_memorial_promo_title","Big May Sale"
"popup_memorial_promo_message","Life’s a picnic with these great deals!"
"popup_candy_bank_tab_memorial","Big May Sale"
"popup_candy_bank_title_memorial","Big May Sale"
"memorial_campaign_info_popup_sweet","Sweet!"
"map_decoration_text_episode_name_episode67","Candy Clouds"
"champion_title_episode67","Flashy Flyer"
"champion_title_episode68","Crunchy Keymaster"
"champion_title_episode69","Treasure Popper"
"map_decoration_text_episode_name_episode68","Caramel Keep"
"map_decoration_text_episode_name_episode69","Tasty Treasury"
"popup_candy_bank_tab_weekend","Weekend Sale"
"popup_candy_bank_title_weekend","Weekend Sale"
"popup_weekend_promo_title","Weekend Sale"
"popup_weekend_promo_message","Dive into these deals & join the party!"
"popup_tutorial_sugartrack_title","Sugar Track Levels!"
"weekend_sale_headline_2","Dive in & join the party!"
"weekend_sale_headline_1","Weekend Sale!"
"popup_tutorial_sugartrack_description","Replay levels to create and collect Sugar Drops. Then trade them for free boosters!"
"popup_tutorial_sugartrack_ok","Sweet"
"popup_tutorial_sugardrops_title","Sugar Drops"
"popup_tutorial_sugardrops_description","A Sugar Drop just appeared. Collect Sugar Drops to get awesome rewards!"
"popup_tutorial_sugardrops_ok","Sweet"
"push_notification_sugar_track_cooldown","Get back on the Sugar Track! Collect more Sugar Drops now!"
"champion_title_episode70","Divine Diver"
"champion_title_episode71","Flashy Fashionista"
"champion_title_episode72","Penguin President"
"map_decoration_text_episode_name_episode70","Luscious Lagoon"
"map_decoration_text_episode_name_episode71","Mellow Marshmallow"
"map_decoration_text_episode_name_episode72","Siberian Sorbet"
"popup_candy_bank_vanity_item","Buy 50 or more Gold Bars and get this hat for your profile picture. The hat is visible for one week from the purchase date."
"saga15_sugartrack_take_over_tutorial","You can now use these boosters in your game to boost your play!"
"sugartrack_rewards_mail_title","Sugar track rewards"
"sugartrack_rewards_mail_body","You have gotten: {0}. Sweet!"
"popup_collaboration_timer_seconds","Seconds"
"popup_collaboration_timer_minutes","Minutes"
"popup_collaboration_timer_hours","Hours"
"popup_collaboration_cant_wait_desc","Can't wait? Get help from 3 friends! Or, get instant access now!"
"popup_collaboration_next_episode_desc","Play the next episode in:"
"champion_title_episode73","Reindeer Ranger"
"map_decoration_text_episode_name_episode73","Cloudberry Creek"
"map_decoration_text_episode_name_episode74","Bubblegum Hut"
"champion_title_episode74","Broomstick Baron"
"map_decoration_text_episode_name_episode75","Pastry Palace"
"champion_title_episode75","Delicious Dreamer"
"popup_vanity_item_wheel_header","Win a hat!"
"popup_vanity_item_wheel_message","Roll up! Roll up! You have the chance to win a hat in the booster wheel!"
"popup_vanity_item_wheel_days_left","{0} days left."
"popup_vanity_item_wheel_day_left","{0} day left."
"champion_title_episode76","Sticky Speedster"
"champion_title_episode77","Groovy Groomer"
"champion_title_episode78","Catnip Crusader"
"map_decoration_text_episode_name_episode76","Raspberry Races"
"map_decoration_text_episode_name_episode77","Teapot Tower"
"map_decoration_text_episode_name_episode78","Barking Boutique"
"map_decoration_text_episode_name_episode79","Banana Beach"
"champion_title_episode79","Savvy Surfer"
"champion_title_episode80","Miso Master"
"map_decoration_text_episode_name_episode80","Snack Shack"
"map_decoration_text_episode_name_episode81","Fungi Forest"
"champion_title_episode81","Mushroom Master"
"champion_title_episode82","Cosmic Commander"
"map_decoration_text_episode_name_episode82","Marmalade Moon"
"popup_hard_level","Hard Level"
"popup_extra_hard_level","Extra Hard Level"
"champion_title_episode84","Crazy Cobbler"
"map_decoration_text_episode_name_episode84","Drizzly Dale"
"champion_title_episode83","Pastry Paladin"
"map_decoration_text_episode_name_episode83","Wonky Wonderland"
"map_decoration_text_episode_name_episode85","Bonbon Bistro"
"champion_title_episode85","Mimer Maestro"
"popup_game_over_victory_hard_level_congrats","Congratulations,
you completed a hard level."
"champion_title_episode86","Candy Constable"
"map_decoration_text_episode_name_episode86","Diamond District"
"popup_tutorial_howtoplay_mixed_mode_title","This is a Mixed Mode level:"
"popup_tutorial_howtoplay_mixed_mode_text","A mix between two or more game modes."
"CCS_october_sale","Game Day Sale"
"CCS_october_sale_tagline","Take it to the next level!"
"champion_title_episode87","Salty Swashbuckler"
"map_decoration_text_episode_name_episode87","Butter Rum Reef"
"champion_title_episode92","Candy Collector"
"map_decoration_text_episode_name_episode92","Candy Keep"
"popup_tutorial_howtoplay_jelly_color_mode_title","This is a Jelly Color level:"
"popup_tutorial_howtoplay_jelly_color_mode_text","Turn all the jelly green."
"popup_game_over_lose_reason_jellycolor_m","You did not make all jelly green."
"game_swipe_intro_mode_jelly_color_header","Turn all the jelly green!"
"game_swipe_end_lose_message_reason_color","Turn jelly green."
"game_swipe_end_lose_reason_color_plural","You only have {0} Jellies left."
"game_swipe_end_lose_reason_color_singular","You only have 1 Jelly left."
"map_decoration_text_episode_name_episode90","Brulee Bay"
"map_decoration_text_episode_name_episode89","Honey Hut"
"champion_title_episode89","Magnificient Muncher"
"champion_title_episode90","Tropical Trooper"
"booster_shuffle_message","Shuffling the board!"
"champion_title_episode91","Fable Finder"
"map_decoration_text_episode_name_episode91","Candied Cliffs"
"tooltip_ingame_gui_order_16","Collect Chocolate."
"tooltip_ingame_gui_order_17","Collect Frosting."
"tooltip_ingame_gui_order_18","Collect Popcorn."
"tooltip_ingame_gui_order_19","Collect Liquorice."
"champion_title_episode88","Potion Perfector"
"map_decoration_text_episode_name_episode88","Hoax Hollow"
"champion_title_episode93","Big Top Boss"
"map_decoration_text_episode_name_episode93","Syrupy Circus"
"champion_title_episode96","Savory Zeus"
"map_decoration_text_episode_name_episode96","Mount Chocolympus"
"champion_title_episode94","Slushy Snowman"
"map_decoration_text_episode_name_episode94","Festive Forest"
"map_decoration_text_episode_name_episode95","Peppermint Party"
"champion_title_episode95","Delicious DJ"
"champion_title_episode97","Cherry Champion"
"map_decoration_text_episode_name_episode97","Flavor Field"
"map_decoration_text_episode_name_episode99","Dessert Desert"
"champion_title_episode99","Highway Howler"
"champion_title_episode102","Sweet Storyteller"
"map_decoration_text_episode_name_episode102","Lullaby Lake"
"map_decoration_text_episode_name_episode98","Divine Diner"
"champion_title_episode98","Waffle Waitress"
"champion_title_episode100","Supreme Simian"
"map_decoration_text_episode_name_episode100","Delicious Dynasty"
"champion_title_episode101","Clumsy Cupid"
"champion_title_episode103","Sweet Sleeper"
"map_decoration_text_episode_name_episode101","Precious Pond"
"map_decoration_text_episode_name_episode103","Candy Canyon"
"X_Gold_Bars","{0} Gold Bars"
"1_Gold_Bar","1 Gold Bar"
"popcorn_tutorial","Use special candies or the Lollipop Hammer to pop the Popcorn."
"popcorn_tutorial_header","Pop 'em!"
"hill_unlock_country","Collect all the ingredients to
bake the cake!"
"hill_unlock_region","Finish all city hills to play the region hill"
"hill_unlock_country_with_regions","Finish all region hills to play the country hill"
"hill_unlock_continent","Collect all the cakes to unlock the Party Hill!"
"hill_unlocked_country","Wow! You've collected all the ingredients. Time to bake!"
"hill_unlocked_region","You can play the region hill!"
"hill_unlocked_continent","You did it! Time to party!"
"ufo_ingame_booster_add","Turns a random candy into a UFO."
"booster_description_CandyUfoIngame","Summon a tasty UFO that zaps the board creating 3 wrapped candies that explode."
"booster_name_CandyUfoIngame","UFO"
"champion_title_episode104","Napping Navigator"
"map_decoration_text_episode_name_episode104","Biscuit Bay"
"champion_title_episode105","Bubbly Barista"
"map_decoration_text_episode_name_episode105","Wacky Waterhole"
"booster_description_CandyUfoIngame_detailed","Your friend from outer space. Puts three wrapped candies on the board and detonates them with its powerful lasers."
"tutorial_introduceBoosterCandyUfoIngame","Click here to summon a UFO that detonates three wrapped candies on the board."
"champion_title_episode106","Pompous Painter"
"map_decoration_text_episode_name_episode106","Scrumptious Studio"
"map_decoration_text_episode_name_episode107","Vanilla Valley"
"champion_title_episode107","Chunky Chipper"
"map_decoration_text_episode_name_episode109","Sundae Stables"
"map_decoration_text_episode_name_episode108","Toffee Teasprings"
"champion_title_episode109","Rowdy Rider"
"champion_title_episode108","Super Scrubber"
"booster_name_CandyStripedBrush","Striped brush"
"booster_description_CandyStripedBrush","Paints pretty stripes on a candy of your choosing"
"booster_description_CandyStripedBrush_detailed","Use this brush to paint stripes on a candy. You choose both which candy to transform and the direction of the stripes."
"tutorial_introduceBoosterCandyStripedBrush","Click here to buy a brush that lets you paint stripes on one candy of your choice."
"wild_treasure_reward_popup","Amazing, here is a reward!"
"popup_game_start_game_mode_jelly_drop","Clear all the jelly and collect all ingredients to complete the level!"
"game_swipe_intro_mode_jelly_drop_header","Clear all the jelly and collect all ingredients!"
"map_decoration_text_episode_name_episode110","Milky Marina"
"champion_title_episode110","Blueberry Bather"
"map_decoration_text_episode_name_episode111","Marzipan Mine"
"champion_title_episode111","Candid Caver"
"champion_title_episode112","Valkyrie Victor"
"map_decoration_text_episode_name_episode112","Honey Highlands"
"champion_title_episode113","Fungus Fixer"
"map_decoration_text_episode_name_episode113","Taffy Treetops"
"champion_title_episode114","Biscuit Barber"
"map_decoration_text_episode_name_episode114","Sugar Shrubs"
"map_decoration_text_episode_name_episode115","Sweet Skies"
"champion_title_episode115","Lovely Levitator"
"tooltip_ingame_gui_jelly","Crush all jelly."
"game_jelly_counter_header","Clear:"
"tutorial_Booster_Demonstration_Button","Show me!"
"tutorial_seedBoosterCandyUfoIngame","Out of this world: UFOs spotted! Each UFO creates 3 exploding Wrapped Candies."
"champion_title_episode116","Bee Bouncer"
"map_decoration_text_episode_name_episode116","Piñata Park"
"map_decoration_text_episode_name_episode117","Sprinkle Sea"
"champion_title_episode117","Divine Diver"
"champion_title_episode118","Camp Commando"
"map_decoration_text_episode_name_episode118","Blueberry Brush"
"map_decoration_text_episode_name_episode120","Delightful Docks"
"champion_title_episode120","Poetic Paddler"
"map_decoration_text_episode_name_episode119","Wiggly Wheel"
"champion_title_episode119","Chipper Charger"
"champion_title_episode123","Slushy Stylist"
"map_decoration_text_episode_name_episode123","Icing Islands"
"map_decoration_text_episode_name_episode121","Fruity Fairground"
"champion_title_episode121","Sugary Strongman"
"map_decoration_text_episode_name_episode122","Bonbon Beanstalk"
"champion_title_episode122","Classy Climber"
"map_decoration_text_episode_name_episode124","Apricot Alley"
"champion_title_episode124","Cordial Caller"
"popup_collaboration_lock_ticket_subtitle","Get your ticket to the next episode"
"popup_collaboration_lock_ticket_play","Play for ticket"
"popup_collaboration_lock_ticket_ask_friends","Ask friends for help"
"popup_collaboration_lock_ticket_pay","Instant access!"
"map_decoration_text_episode_name_episode127","Funky Farm"
"champion_title_episode127","Fishy Fixer"
"map_decoration_text_episode_name_episode125","Peanut Pass"
"champion_title_episode125","Cushiony Catcher"
"bnr_fill_the_meter","Fill the meter!"
"map_decoration_text_episode_name_episode128","Kooky Kingdom"
"champion_title_episode128","Fairy Tailor"
"map_decoration_text_episode_name_episode126","Licorice Luna"
"champion_title_episode126","Astral Artist"
"popup_collab_get_ticket","Get your episode ticket!"
"map_decoration_text_episode_name_episode130","Hippy Hills"
"champion_title_episode130","Broccoli Bruiser"
"game_swipe_intro_ticket_level","Reach 100%"
"game_swipe_end_lose_message_reason_score_close_call","You only need {0} more points!"
"game_swipe_end_lose_message_ticket_level","You didn’t fill the Ticket Bar!"
"game_swipe_end_lose_message_ticket_level_close_call","So close! You only need {0}% more!"
"menu_prelevel_ticket","Ticket Quest"
"map_decoration_text_episode_name_episode132","Custard Coast"
"champion_title_episode132","Shark Survivor"
"map_decoration_text_episode_name_episode131","Spicy Shop"
"champion_title_episode131","Fiery Feaster"
"champion_title_episode129","Drizzle Deflector"
"map_decoration_text_episode_name_episode129","Praline Pavilion"
"preloader_tips_header","Did you know?"
"preloader_tips_game","So far, more than one trillion game rounds have been played"
"preloader_tips_game_2","About 20 billion game rounds are being played every month"
"preloader_tips_messages","So far, players have sent about 550 billion messages to their friends"
"preloader_tips_messages_2","Players send about 18 billion messages to their friends every month"
"preloader_tips_game_3","Candy Crush Saga is played on all seven continents, even Antarctica!"
"preloader_tips_game_4","Candy Crush Saga is played in 231 countries!"
"preloader_tips_game_5","Players swipe more than two laps around the globe on their mobiles every day!"
"preloader_tips_levels","New levels are released every week"
"preloader_tips_levels_2","There are more than 2000 levels in Candy Crush Saga"
"preloader_tips_episodes","There are more than 140 episodes in Candy Crush Saga"
"preloader_tips_toffee_3","Mr. Toffee and Yeti have been friends since they were young"
"preloader_tips_misty","Misty the unicorn is so forgetful that she often tells the same story twice"
"preloader_tips_denize","Denize the dragon is 200 years old! She sure stays young in mind."
"preloader_tips_benny","Benny the bunny has 17 siblings!"
"preloader_tips_suzy","Suzy the giraffe really dislikes heights. That can't be easy..."
"map_decoration_text_episode_name_episode133","Vanilla Villa"
"champion_title_episode133","Mirror Master"
"map_decoration_text_episode_name_episode136","Soda Surf"
"champion_title_episode136","Sparkling Skipper"
"ticket_level_win_animation","New Episode Unlocked!"
"map_decoration_text_episode_name_episode135","Corny Crossroads"
"champion_title_episode135","Supernatural Snatcher"
"popup_collab_lock_title","Unlock the next Episode"
"popup_collab_lock_desc","Wait or choose an option"
"popup_collab_lock_buy_button","Instant access!"
"popup_settings_howtoplay_ticket_mode","This is a Ticket Quest Level:"
"popup_settings_howtoplay_ticket_mode_desc","Match candies to fill the Ticket Bar - Reach 100%"
"game_swipe_intro_mode_ticket_quest_header","Fill the Ticket Bar"
"popup_collaboration_unlocked_header","New episode unlocked!"
"popup_collaboration_lock_ticket_ask_friends_desc","Remember: you need help from three friends!"
"popup_collaboration_received_toothfairy_header","Tooth Fairy´s Gift"
"popup_collaboration_panel_ticket_quest_message","You can unlock the next Episode now by playing for a ticket, choosing Instant Access or getting help from 3 friends!"
"plus_generic","+{0}"
"map_decoration_text_episode_name_episode137","Cavity Cave"
"champion_title_episode137","Sticky Sculptor"
"champion_title_episode134","Cheeky Charlatan"
"map_decoration_text_episode_name_episode134","Bubblegum Bazaar"
"popup_game_over_fail_reason_game_mode_not_completable","You were not able to collect all orders! "
"popup_tutorial_magic_mixer_order_mode","On this level the Magic Mixer creates the orders. Don't destroy it too early!"
"game_swipe_end_lose_message_reason_not_completable","Level not completable. You destroyed the Magic Mixer."
"map_decoration_text_episode_name_episode141","Research Reef"
"map_decoration_text_episode_name_episode139","Luscious Lane"
"champion_title_episode141","Shark Scholar"
"champion_title_episode139","Terrific Tracker"
"map_decoration_text_episode_name_episode140","Shaky Shire"
"champion_title_episode140","Basket Boss"
"map_decoration_text_episode_name_episode138","Tricky Tracks"
"champion_title_episode138","Pumpkin Pilot"
"map_decoration_text_episode_name_episode142","Treacle Retreat"
"champion_title_episode142","Brûlée Barber"
"champion_title_episode143","Bracelet Buddy"
"map_decoration_text_episode_name_episode143","Radiant Resort"
"champion_title_episode144","Prickly Picker"
"map_decoration_text_episode_name_episode144","Dainty Dunes"
"map_decoration_text_episode_name_episode145","Pastry Peaks"
"champion_title_episode145","Burning Baker"
"map_decoration_text_episode_name_episode146","Chilly Chimneys"
"champion_title_episode146","Holiday Helper"
"map_decoration_text_episode_name_episode147","Candy Countdown"
"champion_title_episode147","Rocket Rider"
"map_decoration_text_episode_name_episode148","Gumball Gorge"
"champion_title_episode148","Splendid Spotter"
"popup_level_2000_complete_title","You did it!"
"popup_level_2000_complete_message","You finished 2000 levels, that’s awesome! This is a gift from us - thanks for playing!"
"popup_level_2000_complete_button","Sweet!"
"popup_level_2000_title","2000 levels!"
"popup_level_2000_message","Everyone in the Kingdom is celebrating Level 2000. Take this gift and join the fun!
"
"popup_level_2000_button","Colorific!"
"map_decoration_text_episode_name_episode150","Fizzy Factory"
"champion_title_episode150","Bonbon Boxer"
"map_decoration_text_episode_name_episode149","Scrumptious Slopes"
"champion_title_episode149","Sundae Sergeant"
"map_decoration_text_episode_name_episode151","Tasty Tops"
"champion_title_episode151","Chomper Champ"
"map_decoration_text_episode_name_episode152","Smiley Seas"
"champion_title_episode152","Candy Cleaner"
"map_decoration_text_episode_name_episode153","Crumbly Crossing"
"champion_title_episode153","Love Launcher"
"map_decoration_text_episode_name_episode154","Swirly Steppes"
"champion_title_episode154","Twister Tamer"
"game_swipe_end_lose_message_ticket_level_close_call_bubble","You only need {0}% more!"
"game_swipe_end_lose_message_close_fail_bubble_header","You are so close!"
